username,first_name,last_name,middle_name,email,gender,birth_date,mobile_number,department
2021-6159-MN-0,Anastasha,Hilario ,Roa ,arhilario@iskolarngbayan.pup.edu.ph,F,2002-04-12,(0926) 1236354,BAIS
2021-8945-MN-0,Johney,Ignacio ,Mahinay ,jmignacio@iskolarngbayan.pup.edu.ph,F,2004-04-08,(0999) 4700176,BAIS
2021-5273-MN-0,Saman,Santa Ana ,Rosal ,srsanta ana@iskolarngbayan.pup.edu.ph,F,2004-01-30,(0975) 9292583,MEM-IL
2021-7332-MN-0,Mimi,Alonzo ,Gallego ,mgalonzo@iskolarngbayan.pup.edu.ph,F,2002-02-10,(0906) 4665073,BA Broadcasting
2021-3333-MN-0,Shaday,Marcelo ,Rodrigo ,srmarcelo@iskolarngbayan.pup.edu.ph,M,2003-07-25,(0963) 1537696,ABELS
2021-7248-MN-0,Garnett,Belarmino ,Concepción ,gcbelarmino@iskolarngbayan.pup.edu.ph,F,2002-09-08,(0997) 7738413,MLIS
2021-9355-MN-0,Amandia,Ortega ,Martínez ,amortega@iskolarngbayan.pup.edu.ph,M,2004-03-21,(0953) 6146298,BAS
2021-5493-MN-0,Cameo,Billones ,Padilla ,cpbillones@iskolarngbayan.pup.edu.ph,M,2004-02-28,(0936) 1982170,BSEd-ENG
2021-4978-MN-0,Geovanny,dela Cerna ,Solis ,gsdela cerna@iskolarngbayan.pup.edu.ph,F,2003-11-28,(0975) 4355006,BAPE
2021-2381-MN-0,Amberlynn,Marquez ,Tenorio ,atmarquez@iskolarngbayan.pup.edu.ph,M,2004-11-28,(0905) 3526531,DOMT
2021-4888-MN-0,Aser,Landicho ,Rivas ,arlandicho@iskolarngbayan.pup.edu.ph,M,2004-10-18,(0953) 9424564,AB-PHILO
2021-5479-MN-0,Nekita,Sy ,dela Cruz ,ndsy@iskolarngbayan.pup.edu.ph,M,2004-06-19,(0926) 8006238,BSPHY
2021-8466-MN-0,Hayes,Feliciano ,Umali ,hufeliciano@iskolarngbayan.pup.edu.ph,M,2004-12-14,(0915) 3268005,BSBAFM
2021-3745-MN-0,Kayse,Legaspi ,Rodrigo ,krlegaspi@iskolarngbayan.pup.edu.ph,M,2003-09-20,(0906) 6856971,MEM-EL
2021-5533-MN-0,Abril,Esteban ,Morales ,amesteban@iskolarngbayan.pup.edu.ph,M,2003-10-31,(0973) 4861604,BPE
2021-1557-MN-0,Shuan,José ,Mateo ,smjosé@iskolarngbayan.pup.edu.ph,M,2002-12-07,(0978) 7287007,BSOA
2021-0006-MN-0,Venesha,Gabriel ,Francisco ,vfgabriel@iskolarngbayan.pup.edu.ph,F,2004-12-06,(0997) 3473042,BACR
2021-1785-MN-0,Vue,Sultan ,Dionisio ,vdsultan@iskolarngbayan.pup.edu.ph,M,2003-04-23,(0954) 1935733,DECET
2021-0044-MN-0,Aj,Ariola ,Conde ,acariola@iskolarngbayan.pup.edu.ph,F,2003-07-19,(0997) 3187471,BA Broadcasting
2021-7784-MN-0,Alainna,Ronquillo ,Geronimo ,agronquillo@iskolarngbayan.pup.edu.ph,F,2002-10-17,(0926) 2410341,DBA
2021-5260-MN-0,Tashanda,Uy ,Bernabe ,tbuy@iskolarngbayan.pup.edu.ph,F,2003-12-01,(0935) 2664827,BSE
2021-6028-MN-0,Lorell,Guevarra ,Hipolito ,lhguevarra@iskolarngbayan.pup.edu.ph,M,2003-09-23,(0997) 1567052,BSIE
2021-7441-MN-0,Akeisha,Catalán ,Nepomuceno ,ancatalán@iskolarngbayan.pup.edu.ph,F,2002-04-01,(0964) 9828885,BPA
2021-6581-MN-0,Gladis,de Castro ,Cano ,gcde castro@iskolarngbayan.pup.edu.ph,M,2003-02-01,(0915) 2002655,BAPE
2021-2471-MN-0,Min,Ábalos ,Santiago ,msábalos@iskolarngbayan.pup.edu.ph,F,2002-07-05,(0965) 3763179,BSTM
2021-3667-MN-0,Tanda,Dimaano ,Salazar ,tsdimaano@iskolarngbayan.pup.edu.ph,F,2003-11-29,(0973) 4525660,BSEE
2021-5744-MN-0,Earl,Salcedo ,Osorio ,eosalcedo@iskolarngbayan.pup.edu.ph,M,2004-09-13,(0926) 3831554,BTLEd-ICT
2021-9082-MN-0,Elektra,Murillo ,Bernal ,ebmurillo@iskolarngbayan.pup.edu.ph,F,2003-11-11,(0965) 6681396,BSE
2021-4586-MN-0,Christiane,Magno ,Rosario ,crmagno@iskolarngbayan.pup.edu.ph,M,2003-03-02,(0975) 8176542,BSE
2021-1922-MN-0,Tekia,Moreno ,Bautista ,tbmoreno@iskolarngbayan.pup.edu.ph,M,2002-01-03,(0975) 1927999,BSPHY
2021-8986-MN-0,Tashay,Gómez ,Rubio ,trgómez@iskolarngbayan.pup.edu.ph,F,2003-12-20,(0965) 7560761,BSCE
2021-1888-MN-0,Chelesa,de Castro ,Evangelista ,cede castro@iskolarngbayan.pup.edu.ph,F,2002-05-29,(0955) 2649766,BSFT
2021-3495-MN-0,Fiona,Arroyo ,Eugenio ,fearroyo@iskolarngbayan.pup.edu.ph,F,2003-09-02,(0935) 8425321,DPA
2021-2366-MN-0,Jacon,Viray ,Regalado ,jrviray@iskolarngbayan.pup.edu.ph,F,2003-09-08,(0936) 7619099,BAIS
2021-8811-MN-0,Tamesha,de Luna ,Bóndoc ,tbde luna@iskolarngbayan.pup.edu.ph,M,2003-08-06,(0926) 2870535,BAPE
2021-1661-MN-0,Twanisha,del Mundo ,Villar ,tvdel mundo@iskolarngbayan.pup.edu.ph,M,2003-07-05,(0974) 8631271,BSCS
2021-8267-MN-0,Nadeem,Salvador ,Santiago ,nssalvador@iskolarngbayan.pup.edu.ph,F,2002-12-15,(0953) 7725581,BA Broadcasting
2021-5038-MN-0,Sheron,Cano ,Guinto ,sgcano@iskolarngbayan.pup.edu.ph,F,2004-07-19,(0963) 7195591,BSENTREP
2021-7861-MN-0,Careen,Vega ,Alejo ,cavega@iskolarngbayan.pup.edu.ph,F,2002-03-15,(0927) 9495933,BSEE
2021-0084-MN-0,Gaylen,Gallego ,Nepomuceno ,gngallego@iskolarngbayan.pup.edu.ph,M,2004-02-14,(0963) 3912832,BLIS
2021-1677-MN-0,Abbey,Bóndoc ,Abas ,aabóndoc@iskolarngbayan.pup.edu.ph,F,2002-03-05,(0975) 1469022,BSFT
2021-2188-MN-0,Loran,Aragón ,Dionisio ,ldaragón@iskolarngbayan.pup.edu.ph,F,2003-01-18,(0965) 9706682,ABELS
2021-5272-MN-0,Domingue,Tecson ,Villareal ,dvtecson@iskolarngbayan.pup.edu.ph,M,2004-03-19,(0975) 3761675,BTLEd-IA
2021-4750-MN-0,Shaquana,de Castro ,Ferrer ,sfde castro@iskolarngbayan.pup.edu.ph,M,2002-06-23,(0978) 7377754,BSIT
2021-6389-MN-0,Raelene,Bernardino ,de Chávez ,rdbernardino@iskolarngbayan.pup.edu.ph,F,2004-06-15,(0916) 6944469,BSMATH
2021-3010-MN-0,Konstantinos,Buenaventura ,Uy ,kubuenaventura@iskolarngbayan.pup.edu.ph,F,2004-07-16,(0979) 1992475,DOMT
2021-3958-MN-0,Laquette,Patricio ,Espíritu ,lepatricio@iskolarngbayan.pup.edu.ph,F,2003-06-12,(0936) 9675026,BSAPMATH
2021-0803-MN-0,Tramaine,Basa ,Asis ,tabasa@iskolarngbayan.pup.edu.ph,M,2004-09-11,(0997) 8683775,BSOA
2021-5177-MN-0,Brockton,Florendo ,Andal ,baflorendo@iskolarngbayan.pup.edu.ph,F,2002-07-25,(0963) 1676399,BSENTREP
2021-9871-MN-0,Moya,Blanco ,Macaraeg ,mmblanco@iskolarngbayan.pup.edu.ph,F,2003-01-13,(0937) 4430476,BSE
2021-4066-MN-0,Roshaunda,delos Reyes,Abdul ,radelos reyes@iskolarngbayan.pup.edu.ph,M,2003-06-14,(0974) 8043617,BSECE
2021-5330-MN-0,Thomasine,Liwanag ,de los Reyes ,tdliwanag@iskolarngbayan.pup.edu.ph,F,2003-01-08,(0936) 1114982,BSME
2021-6760-MN-0,Yobani,Suárez ,Cariño ,ycsuárez@iskolarngbayan.pup.edu.ph,M,2003-12-20,(0999) 9679449,BSPSY
2021-4942-MN-0,Kenny,Samonte ,Carpio ,kcsamonte@iskolarngbayan.pup.edu.ph,M,2002-06-06,(0916) 3478932,DICT
2021-6293-MN-0,Ahlam,Pangan ,Lozada ,alpangan@iskolarngbayan.pup.edu.ph,F,2003-12-15,(0927) 2866364,BAPS
2021-5031-MN-0,Briget,del Mundo ,Alba ,badel mundo@iskolarngbayan.pup.edu.ph,F,2003-02-08,(0927) 6054854,BSTM
2021-7670-MN-0,Lacye,Zabala ,de Chávez ,ldzabala@iskolarngbayan.pup.edu.ph,M,2003-03-23,(0906) 9180725,BAIS
2021-7008-MN-0,Othello,Tolentino ,Sabado ,ostolentino@iskolarngbayan.pup.edu.ph,M,2002-09-02,(0905) 3769789,BAPS
2021-5029-MN-0,Joyelle,Baguio ,Oliveros ,jobaguio@iskolarngbayan.pup.edu.ph,F,2002-08-01,(0926) 6367882,BTLEd-IA
2021-7608-MN-0,Kahlil,Arcilla ,Pelayo ,kparcilla@iskolarngbayan.pup.edu.ph,M,2002-08-08,(0973) 7460141,BECEd
2021-4210-MN-0,Lashea,Evangelista ,Galicia ,lgevangelista@iskolarngbayan.pup.edu.ph,F,2002-02-01,(0926) 3415634,MAELT
2021-3065-MN-0,Fernanda,Guerrero ,Rosario ,frguerrero@iskolarngbayan.pup.edu.ph,F,2002-01-06,(0945) 5669090,BSCpE
2021-7495-MN-0,Davia,de Luna ,Salinas ,dsde luna@iskolarngbayan.pup.edu.ph,M,2004-07-08,(0974) 1667381,BAH
2021-6568-MN-0,Susi,Gonzales ,Panganiban ,spgonzales@iskolarngbayan.pup.edu.ph,M,2004-07-03,(0954) 5432833,BECEd
2021-4122-MN-0,Labaron,Añonuevo ,Oliveros ,loañonuevo@iskolarngbayan.pup.edu.ph,M,2002-03-18,(0945) 4493806,BSPHY
2021-2570-MN-0,Stevens,Ferrer ,Cristóbal ,scferrer@iskolarngbayan.pup.edu.ph,M,2002-11-03,(0954) 4007563,BSTM
2021-9750-MN-0,Eliberto,Marcelino ,Fontanilla ,efmarcelino@iskolarngbayan.pup.edu.ph,F,2003-08-24,(0935) 6037663,PBDE
2021-6241-MN-0,Allisa,Centeno ,Fontanilla ,afcenteno@iskolarngbayan.pup.edu.ph,F,2002-06-02,(0997) 5954176,BSCE
2021-7257-MN-0,Nerissa,Porras ,Ortega ,noporras@iskolarngbayan.pup.edu.ph,M,2003-05-02,(0906) 6921172,BSMATH
2021-2031-MN-0,Will,Andrés ,Lara ,wlandrés@iskolarngbayan.pup.edu.ph,F,2002-01-10,(0997) 8787458,DPA
2021-0261-MN-0,Tika,Bueno ,Carillo ,tcbueno@iskolarngbayan.pup.edu.ph,M,2003-12-03,(0945) 4115210,BPEA
2021-0321-MN-0,Dagny,Esteban ,de Villa ,ddesteban@iskolarngbayan.pup.edu.ph,M,2004-05-20,(0935) 5519434,BAS
2021-1049-MN-0,Janet,Delfín ,Mallari ,jmdelfín@iskolarngbayan.pup.edu.ph,M,2004-07-30,(0964) 1021002,BECEd
2021-0373-MN-0,Kenzi,Bernardo ,Sultan ,ksbernardo@iskolarngbayan.pup.edu.ph,F,2002-11-29,(0973) 5455210,DCET
2021-9516-MN-0,Kien,Lozano ,Dalisay ,kdlozano@iskolarngbayan.pup.edu.ph,F,2002-01-06,(0905) 5410181,BTLEd-ICT
2021-4238-MN-0,Silvia,Gamboa ,Alejo ,sagamboa@iskolarngbayan.pup.edu.ph,M,2004-12-24,(0937) 1225145,BSAPMATH
2021-1983-MN-0,Shua,Sultan ,Bermúdez ,sbsultan@iskolarngbayan.pup.edu.ph,F,2002-05-27,(0999) 9478111,BSTRM
2021-0720-MN-0,Kalesha,Beltrán ,Austria ,kabeltrán@iskolarngbayan.pup.edu.ph,F,2002-02-23,(0945) 4750483,BSCE
2021-8137-MN-0,Avraham,Molina ,Mendez ,ammolina@iskolarngbayan.pup.edu.ph,F,2003-10-14,(0973) 7515538,BSTRM
2021-4602-MN-0,Amol,Capistrano ,Lázaro ,alcapistrano@iskolarngbayan.pup.edu.ph,F,2004-11-05,(0916) 1863009,DBA
2021-9485-MN-0,Loreal,Saysón ,Espina ,lesaysón@iskolarngbayan.pup.edu.ph,F,2004-07-28,(0935) 7492111,PBDE
2021-7202-MN-0,Letticia,Alarcón ,Manzano ,lmalarcón@iskolarngbayan.pup.edu.ph,M,2004-07-22,(0976) 3147817,BSEP
2021-3128-MN-0,Doyle,Romano ,Ocampo ,doromano@iskolarngbayan.pup.edu.ph,F,2002-12-10,(0915) 5122764,BECEd
2021-1004-MN-0,Celisa,Laurente ,Acuña ,calaurente@iskolarngbayan.pup.edu.ph,F,2003-11-20,(0999) 5759726,DEM
2021-8933-MN-0,Marieke,Chua ,Guerrero ,mgchua@iskolarngbayan.pup.edu.ph,F,2003-02-25,(0978) 4365235,MAEd-ME
2021-7642-MN-0,Sharda,Cano ,Rodrigo ,srcano@iskolarngbayan.pup.edu.ph,M,2002-05-23,(0977) 4210913,DEM
2021-9867-MN-0,Dottie,Sánchez ,de León ,ddsánchez@iskolarngbayan.pup.edu.ph,M,2002-01-23,(0997) 5216374,MEM-EL
2021-1325-MN-0,Alireza,Mina ,Álvarez ,aámina@iskolarngbayan.pup.edu.ph,F,2002-01-17,(0926) 4604895,BSEd-SS
2021-1439-MN-0,Stephania,Bacani ,Andal ,sabacani@iskolarngbayan.pup.edu.ph,M,2004-10-18,(0977) 5927067,ABLCS
2021-8227-MN-0,Shakela,Arceo ,Florendo ,sfarceo@iskolarngbayan.pup.edu.ph,M,2002-11-07,(0905) 6205481,BSAPMATH
2021-0721-MN-0,Moises,Cunanan ,Ledesma ,mlcunanan@iskolarngbayan.pup.edu.ph,F,2004-04-29,(0974) 6240360,BSCpE
2021-0499-MN-0,Shanyn,Canlas ,Hernández ,shcanlas@iskolarngbayan.pup.edu.ph,F,2002-01-08,(0905) 4535465,MAELT
2021-5209-MN-0,Sindi,Rosales ,Basa ,sbrosales@iskolarngbayan.pup.edu.ph,F,2004-08-14,(0917) 7894477,BTLEd-IA
2021-2225-MN-0,Jossie,Capistrano ,dela Peña ,jdcapistrano@iskolarngbayan.pup.edu.ph,F,2002-10-06,(0954) 5806741,DEET
2021-3824-MN-0,Tomasa,Salvador ,Miranda ,tmsalvador@iskolarngbayan.pup.edu.ph,F,2002-01-11,(0979) 4286303,BSESS
2021-6046-MN-0,Corrissa,Villena ,Córdova ,ccvillena@iskolarngbayan.pup.edu.ph,M,2004-07-05,(0954) 8899346,DECET
2021-8896-MN-0,Tranquilino,Viloria ,Osorio ,toviloria@iskolarngbayan.pup.edu.ph,M,2002-01-17,(0905) 7752474,JD
2021-3581-MN-0,Loreena,Romero ,Mama ,lmromero@iskolarngbayan.pup.edu.ph,M,2002-05-18,(0979) 1434755,BSEd-ENG
2021-3479-MN-0,Shone,Nolasco ,Enríquez ,senolasco@iskolarngbayan.pup.edu.ph,M,2003-03-28,(0953) 2092687,BSMATH
2021-8724-MN-0,Laken,Añonuevo ,Saysón ,lsañonuevo@iskolarngbayan.pup.edu.ph,F,2004-01-20,(0974) 1304180,DEM
2021-7458-MN-0,Arik,Barrios ,Ismael ,aibarrios@iskolarngbayan.pup.edu.ph,M,2003-04-17,(0973) 6454354,MEM-IL
2021-8981-MN-0,Mirissa,Tolentino ,Mallari ,mmtolentino@iskolarngbayan.pup.edu.ph,F,2003-07-05,(0926) 3612997,DEM
2021-2890-MN-0,Jill,Arevalo ,Navarro ,jnarevalo@iskolarngbayan.pup.edu.ph,F,2003-12-24,(0978) 6968113,BSFT
2021-5133-MN-0,Dinh,Gabriel ,Pasión ,dpgabriel@iskolarngbayan.pup.edu.ph,F,2003-10-31,(0927) 7052357,BSEd-ENG
2021-9952-MN-0,Kemper,Jiménez ,de Villa ,kdjiménez@iskolarngbayan.pup.edu.ph,F,2002-12-06,(0917) 2309844,BEEd
2021-2565-MN-0,Markcus,San Juan ,San Pedro ,mssan juan@iskolarngbayan.pup.edu.ph,M,2004-12-11,(0979) 6929831,BTLEd-IA
2021-7272-MN-0,Athenia,Labrador ,Amante ,aalabrador@iskolarngbayan.pup.edu.ph,M,2003-06-15,(0915) 3457118,MBA
2021-6957-MN-0,Karleigh,Paz ,Alegre ,kapaz@iskolarngbayan.pup.edu.ph,F,2003-01-26,(0954) 3151320,BSCHEM
2021-5963-MN-0,Josecarlos,Rivera ,Sunga ,jsrivera@iskolarngbayan.pup.edu.ph,M,2002-03-24,(0905) 7278809,MPA
2021-3385-MN-0,Tamla,Lara ,Pilapil ,tplara@iskolarngbayan.pup.edu.ph,M,2002-06-16,(0916) 8472290,BSCpE
2021-4572-MN-0,Alonzo,Roldán ,Mercado ,amroldán@iskolarngbayan.pup.edu.ph,F,2002-10-24,(0979) 7408342,MAEd-ME
2021-6369-MN-0,Aiyana,Manalang ,Mangubat ,ammanalang@iskolarngbayan.pup.edu.ph,F,2004-11-28,(0935) 7841779,ABELS
2021-4120-MN-0,Latrese,Guevarra ,Estrada ,leguevarra@iskolarngbayan.pup.edu.ph,M,2003-07-03,(0954) 1603049,BSEd-MATH
2021-7811-MN-0,Chett,Austria ,Marcos ,cmaustria@iskolarngbayan.pup.edu.ph,M,2004-09-05,(0926) 6137259,MAED-TCA
2021-6855-MN-0,Parks,Navarro ,Villegas ,pvnavarro@iskolarngbayan.pup.edu.ph,F,2002-09-13,(0975) 1056543,BSESS
2021-3431-MN-0,Atlas,Bello ,Figueroa ,afbello@iskolarngbayan.pup.edu.ph,F,2003-01-02,(0999) 6266848,BSEE
2021-0752-MN-0,Demeatrice,Bautista ,Bravo ,dbbautista@iskolarngbayan.pup.edu.ph,M,2004-11-12,(0999) 3588279,BSHM
2021-0825-MN-0,Chaim,Policarpio ,Mahinay ,cmpolicarpio@iskolarngbayan.pup.edu.ph,M,2003-03-10,(0978) 5892240,BAH
2021-9893-MN-0,Sanika,Borja ,Mata ,smborja@iskolarngbayan.pup.edu.ph,M,2002-04-28,(0975) 4538376,DPA
2021-7146-MN-0,Zelma,Cabrera ,Samonte ,zscabrera@iskolarngbayan.pup.edu.ph,M,2003-06-27,(0977) 4471241,DMET
2021-3499-MN-0,Rosenda,Laurente ,Asis ,ralaurente@iskolarngbayan.pup.edu.ph,F,2002-01-18,(0999) 1445439,BSTM
2021-3543-MN-0,Majid,Moreno ,Baltazar ,mbmoreno@iskolarngbayan.pup.edu.ph,F,2004-03-09,(0973) 7448071,BTLEd-IA
2021-3930-MN-0,Yoni,de Jesús ,Peña ,ypde jesús@iskolarngbayan.pup.edu.ph,M,2003-02-23,(0963) 4770373,BECEd
2021-8473-MN-0,Quince,Valdez ,Sison ,qsvaldez@iskolarngbayan.pup.edu.ph,M,2003-08-29,(0997) 4213378,BS-ARCH
2021-2012-MN-0,Laneesha,Buenaventura ,Pimentel ,lpbuenaventura@iskolarngbayan.pup.edu.ph,M,2003-10-07,(0999) 9182849,BACR
2021-1452-MN-0,Olivier,Belarmino ,Omar ,oobelarmino@iskolarngbayan.pup.edu.ph,M,2002-06-28,(0926) 7381919,BAPS
2021-5829-MN-0,Fannie,Viloria ,Oliva ,foviloria@iskolarngbayan.pup.edu.ph,M,2003-03-09,(0927) 7845670,MBA
2021-2957-MN-0,Briana,Montes ,Villafuerte ,bvmontes@iskolarngbayan.pup.edu.ph,M,2002-12-24,(0905) 2687508,DOMT
2021-1714-MN-0,Sabrenia,Calma ,Patricio ,spcalma@iskolarngbayan.pup.edu.ph,M,2002-11-01,(0965) 9803959,DCET
2021-6756-MN-0,Angalena,Padilla ,Custodio ,acpadilla@iskolarngbayan.pup.edu.ph,F,2003-09-26,(0965) 6838608,ABLCS
2021-2437-MN-0,Kasandra,Clemente ,Mendiola ,kmclemente@iskolarngbayan.pup.edu.ph,F,2002-10-28,(0953) 3971909,BSEd-FIL
2021-7869-MN-0,Janiesha,Ramírez ,Mina ,jmramírez@iskolarngbayan.pup.edu.ph,F,2004-07-30,(0917) 5055917,BSMA
2021-2876-MN-0,Latish,Galang ,Aquino,lagalang@iskolarngbayan.pup.edu.ph,M,2002-03-14,(0974) 5259823,AB-PHILO
2021-6308-MN-0,Chanice,Ortega ,Baguio ,cbortega@iskolarngbayan.pup.edu.ph,M,2002-12-20,(0978) 1089027,AB-PHILO
2021-5660-MN-0,Alejandra,de la Cruz ,Patricio ,apde la cruz@iskolarngbayan.pup.edu.ph,F,2004-01-16,(0978) 9606091,BSC
2021-6452-MN-0,Bradly,Paz ,Fontanilla ,bfpaz@iskolarngbayan.pup.edu.ph,F,2002-01-05,(0915) 6532058,PBDE
2021-3746-MN-0,Tywon,Briones ,Omar ,tobriones@iskolarngbayan.pup.edu.ph,M,2002-02-20,(0974) 4377320,BSPSY
2021-1437-MN-0,Cesario,Macaraeg ,Marquez ,cmmacaraeg@iskolarngbayan.pup.edu.ph,F,2002-12-14,(0937) 4644541,BSOA
2021-9993-MN-0,Thad,Sy ,Valenzuela ,tvsy@iskolarngbayan.pup.edu.ph,M,2004-11-28,(0927) 2869751,JD
2021-2938-MN-0,Yulia,del Mundo ,Flores ,yfdel mundo@iskolarngbayan.pup.edu.ph,M,2002-05-10,(0964) 8451959,BACR
2021-1345-MN-0,Willette,Gatchalián ,Neri ,wngatchalián@iskolarngbayan.pup.edu.ph,M,2004-09-07,(0997) 6375944,BSEP
2021-0800-MN-0,Francia,Vergara ,Alba ,favergara@iskolarngbayan.pup.edu.ph,F,2004-02-14,(0937) 8849252,DBA
2021-5147-MN-0,Adel,Arellano ,de Mesa ,adarellano@iskolarngbayan.pup.edu.ph,M,2004-05-18,(0977) 7059460,BSAPMATH
2021-7354-MN-0,Marielena,Salas ,Galicia ,mgsalas@iskolarngbayan.pup.edu.ph,M,2002-03-24,(0935) 8695528,MBA
2021-5398-MN-0,Bryheem,delos Reyes,Macaraeg ,bmdelos reyes@iskolarngbayan.pup.edu.ph,F,2002-09-27,(0964) 5141725,BAPS
2021-2450-MN-0,Sanjuanita,Morales ,Montes ,smmorales@iskolarngbayan.pup.edu.ph,F,2004-10-12,(0935) 6777714,BAH
2021-6180-MN-0,Dagan,Fajardo ,Lara ,dlfajardo@iskolarngbayan.pup.edu.ph,M,2002-05-06,(0915) 3424971,DPA
2021-7494-MN-0,Latori,Valdez ,Paglinawan ,lpvaldez@iskolarngbayan.pup.edu.ph,F,2004-04-28,(0978) 4855383,BSMA
2021-1632-MN-0,Dashaun,Rosal ,Ibrahim ,dirosal@iskolarngbayan.pup.edu.ph,M,2004-08-06,(0963) 1636989,BSAPMATH
2021-0015-MN-0,Cristofer,Andal ,Frias ,cfandal@iskolarngbayan.pup.edu.ph,M,2003-10-16,(0937) 1000364,BSE
2021-7132-MN-0,Gilberto,Cariño ,Tomás ,gtcariño@iskolarngbayan.pup.edu.ph,M,2003-01-26,(0978) 9431605,BSMA
2021-9812-MN-0,Diontae,Paraiso ,Moreno ,dmparaiso@iskolarngbayan.pup.edu.ph,F,2003-03-30,(0937) 7431924,BAH
2021-7186-MN-0,Rosie,Magpantay ,Herrera ,rhmagpantay@iskolarngbayan.pup.edu.ph,M,2002-04-20,(0915) 7909802,BSECE
2021-2119-MN-0,Simmie,Benito ,Padilla ,spbenito@iskolarngbayan.pup.edu.ph,M,2002-12-02,(0926) 7982476,BEEd
2021-5545-MN-0,Viliami,Espino ,Aragón ,vaespino@iskolarngbayan.pup.edu.ph,F,2002-08-18,(0964) 3244106,ABLCS
